idhh,id,name_latin,id_cg,pop_t_2014,log_t_2014,log_hosp_1k_2014,log_hosp_2k_2014,log_hosp_2k+_2014,delegation,firms
TN111,TN111,Carthage,TS1110,24216,8245,6.09806164,28.60446699,65.29747137,1151,2792
TN112,TN112,La  Medina,TS1111,21400,7431,44.9593595,45.43553305,9.605107446,1152,5035
TN113,TN113,Bab Bhar,TS1112,36210,14970,16.56988141,45.61311029,37.8170083,1153,35979
TN114,TN114,Bab Souika,TS1113,29185,9782,37.57802533,61.10921381,1.312760861,1154,6064
TN115,TN115,Elomrane,TS1114,42208,13049,52.0904036,40.44864618,7.460950214,1155,2297
TN116,TN116,Elomrane Supérieur,TS1115,55513,17715,5.202173731,15.63166719,79.16615908,1156,4477
TN117,TN117,Ettahrir,TS1116,21709,6989,4.624388743,10.68063743,84.69497383,1157,1818
TN118,TN118,El Menzah,TS1117,41830,15645,13.67914252,38.90384877,47.41700871,1158,9829
TN119,TN119,Cité Elkhadra,TS1118,35173,12790,36.98318323,53.76622433,9.250592439,1159,16937
TN11A,TN11A,Le Bardo,TS1119,71961,24105,9.385309069,46.24895625,44.36573468,1160,8588
TN11B,TN11B,Sijoumi,TS111A,33870,8769,18.88266591,68.2840898,12.83324428,1161,2797
TN11C,TN11C,Ezzouhour,TS111B,40728,12208,8.281971237,81.41635744,10.30167133,1162,3234
TN11D,TN11D,Elhrairia,TS111C,110184,32283,5.371733642,12.64646478,81.98180158,1163,7797
TN11E,TN11E,Sidi Hassine,TS111D,109672,31082,5.140990994,7.900701566,86.95830744,1164,5500
TN11F,TN11F,El Ourdia,TS111E,32147,9390,9.295256977,75.59043785,15.11430518,1165,4393
TN11G,TN11G,El Kabaria,TS111F,86024,24844,6.936603743,51.70108273,41.36231353,1166,3589
TN11H,TN11H,Sidi El Bechir,TS111G,27749,9207,75.87754569,24.02372168,0.098732628,1167,290
TN11I,TN11I,Djbel Djloud,TS111H,23638,6747,6.222669882,44.05750098,49.71982914,1168,1328
TN11J,TN11J,La Goulette,TS111I,45711,17930,12.62574373,40.77823827,46.59601801,1169,2818
TN11K,TN11K,lE Kram,TS111J,74132,26980,9.071962603,63.60617949,27.3218579,1170,5986
TN11L,TN11L,La Marsa,TS111K,92987,33187,13.23383097,53.71861051,33.04755851,1171,19337
TN121,TN121,Ariana Ville,TS1120,114486,39773,15.9552866,51.46065713,32.58405627,1251,22300
TN122,TN122,Soukra,TS1121,129693,39127,4.803149316,37.61704918,57.5798015,1252,12774
TN123,TN123,Raoued,TS1122,106414,36380,2.862394267,12.8323494,84.30525634,1253,9149
TN124,TN124,kalaât El Andalous,TS1123,26796,7071,4.389097691,1.509534616,94.10136769,1254,1525
TN125,TN125,Sidi Thabet,TS1124,24503,6743,2.620430831,3.993975852,93.38559332,1255,1427
TN126,TN126,Cité Ettathamen,TS1125,84312,24508,13.56757625,76.51838554,9.91403821,1256,6417
TN127,TN127,EL Mnihla,TS1126,89884,26973,6.821122741,43.0868845,50.09199276,1257,6362
TN131,TN131,Ben Arous,TS1130,31128,9707,22.76288052,53.56460306,23.67251642,1351,4955
TN132,TN132,La Nouvelle Medina,TS1131,57194,18864,22.570679,72.42229031,5.007030683,1352,4361
TN133,TN133,El Mourouj,TS1132,104538,31823,7.302393781,40.86345612,51.8341501,1353,8264
TN134,TN134,Hammam Lif,TS1133,42518,14032,6.284641003,7.193041128,86.52231787,1354,4641
TN135,TN135,Hammam Chott,TS1134,31858,10383,5.794502103,23.40743463,70.79806326,1355,2554
TN136,TN136,Bou Mhel El Bassatine,TS1135,40101,12607,3.094055815,8.803379304,88.10256488,1356,4012
TN137,TN137,Ezzahra,TS1136,34962,11687,3.429086165,1.379653543,95.19126029,1357,3642
TN138,TN138,Radès,TS1137,59998,18732,5.788171878,5.844147069,88.36768105,1358,5738
TN139,TN139,Megrine,TS1138,26720,8011,4.332774882,9.650016943,86.01720817,1359,4866
TN13A,TN13A,Mohamedia,TS1139,66439,18518,5.433338336,6.654248053,87.91241361,1360,3584
TN13B,TN13B,Fouchana,TS113A,74868,22367,3.333800895,4.82338069,91.84281841,1361,6197
TN13C,TN13C,Mornag,TS113B,61518,16319,4.333280563,5.718928346,89.94779109,1362,4139
TN141,TN141,Manouba,TS1140,58792,17682,15.42343169,56.64831538,27.92825292,1451,6756
TN142,TN142,Douar Hicher,TS1141,84090,23065,17.58412305,72.88192509,9.533951857,1452,6126
TN143,TN143,Oued Elil,TS1142,69317,19415,2.800048052,7.994352939,89.20559901,1453,4639
TN144,TN144,Mornaguia,TS1143,42687,11323,3.947526459,2.960662574,93.09181097,1454,3405
TN145,TN145,Borj Amri,TS1144,17408,4449,4.080571433,2.642531485,93.27689708,1455,1106
TN146,TN146,Jedeida,TS1145,44748,11593,6.745065723,8.026653079,85.2282812,1456,2556
TN147,TN147,Tebourba,TS1146,43499,10926,20.62947892,47.60951834,31.76100274,1457,2950
TN148,TN148,El Battane,TS1147,18977,4801,3.22177088,9.558613176,87.21961594,1458,929
TN151,TN151,Nabeul,TS1150,73128,27642,31.6772747,59.01009978,9.312625518,1551,9077
TN152,TN152,Dar Chaabane,TS1151,46781,14954,8.010945526,53.96864122,38.02041326,1552,3492
TN153,TN153,Beni Khiar,TS1152,43132,15184,2.386530004,3.336555464,94.27691453,1553,3228
